2020/06/02,House Cleaning,Dothan AL,100
2020/06/02,House Cleaning,Huntsville-Decatur (Florence) AL,98
2020/06/02,House Cleaning,Montgomery (Selma) AL,91
2020/06/02,House Cleaning,Birmingham AL,90
2020/06/02,House Cleaning,Columbus GA,48
2020/06/02,House Cleaning,Mobile AL-Pensacola (Ft. Walton Beach) FL,44
2020/06/02,House Cleaning,Meridian MS,0
2020/06/02,House Cleaning,Anchorage AK,100
2020/06/02,House Cleaning,Juneau AK,0
2020/06/02,House Cleaning,Fairbanks AK,0
2020/06/02,House Cleaning,Phoenix AZ,100
2020/06/02,House Cleaning,Tucson (Sierra Vista) AZ,96
2020/06/02,House Cleaning,Yuma AZ-El Centro CA,0
2020/06/02,House Cleaning,Little Rock-Pine Bluff AR,100
2020/06/02,House Cleaning,Ft. Smith-Fayetteville-Springdale-Rogers AR,93
2020/06/02,House Cleaning,Shreveport LA,8
2020/06/02,House Cleaning,Springfield MO,8
2020/06/02,House Cleaning,Monroe LA-El Dorado AR,6
2020/06/02,House Cleaning,Memphis TN,4
2020/06/02,House Cleaning,Jonesboro AR,0
2020/06/02,House Cleaning,Sacramento-Stockton-Modesto CA,100
2020/06/02,House Cleaning,Chico-Redding CA,88
2020/06/02,House Cleaning,Santa Barbara-Santa Maria-San Luis Obispo CA,87
2020/06/02,House Cleaning,Bakersfield CA,87
2020/06/02,House Cleaning,Monterey-Salinas CA,83
2020/06/02,House Cleaning,Palm Springs CA,83
2020/06/02,House Cleaning,San Diego CA,80
2020/06/02,House Cleaning,San Francisco-Oakland-San Jose CA,76
2020/06/02,House Cleaning,Los Angeles CA,73
2020/06/02,House Cleaning,Fresno-Visalia CA,71
2020/06/02,House Cleaning,Reno NV,11
2020/06/02,House Cleaning,Medford-Klamath Falls OR,4
2020/06/02,House Cleaning,Eureka CA,0
2020/06/02,House Cleaning,Yuma AZ-El Centro CA,0
2020/06/02,House Cleaning,Colorado Springs-Pueblo CO,100
2020/06/02,House Cleaning,Denver CO,77
2020/06/02,House Cleaning,Grand Junction-Montrose CO,70
2020/06/02,House Cleaning,Hartford & New Haven CT,100
2020/06/02,House Cleaning,Salisbury MD,100
2020/06/02,House Cleaning,Philadelphia PA,10
2020/06/02,House Cleaning,Ft. Myers-Naples FL,100
2020/06/02,House Cleaning,West Palm Beach-Ft. Pierce FL,89
2020/06/02,House Cleaning,Tampa-St. Petersburg (Sarasota) FL,89
2020/06/02,House Cleaning,Jacksonville FL,87
2020/06/02,House Cleaning,Panama City FL,86
2020/06/02,House Cleaning,Orlando-Daytona Beach-Melbourne FL,80
2020/06/02,House Cleaning,Gainesville FL,67
2020/06/02,House Cleaning,Miami-Ft. Lauderdale FL,65
2020/06/02,House Cleaning,Tallahassee FL-Thomasville GA,58
2020/06/02,House Cleaning,Mobile AL-Pensacola (Ft. Walton Beach) FL,52
2020/06/02,House Cleaning,Atlanta GA,100
2020/06/02,House Cleaning,Macon GA,92
2020/06/02,House Cleaning,Augusta GA,90
2020/06/02,House Cleaning,Savannah GA,70
2020/06/02,House Cleaning,Columbus GA,46
2020/06/02,House Cleaning,Chattanooga TN,27
2020/06/02,House Cleaning,Tallahassee FL-Thomasville GA,22
2020/06/02,House Cleaning,Jacksonville FL,10
2020/06/02,House Cleaning,Albany GA,0
2020/06/02,House Cleaning,Dothan AL,0
2020/06/02,House Cleaning,Honolulu HI,100
2020/06/02,House Cleaning,Boise ID,100
2020/06/02,House Cleaning,Idaho Falls-Pocatello ID,73
2020/06/02,House Cleaning,Spokane WA,21
2020/06/02,House Cleaning,Twin Falls ID,0
2020/06/02,House Cleaning,Rockford IL,100
2020/06/02,House Cleaning,Peoria-Bloomington IL,98
2020/06/02,House Cleaning,Champaign & Springfield-Decatur IL,91
2020/06/02,House Cleaning,Chicago IL,88
2020/06/02,House Cleaning,Davenport IA-Rock Island-Moline IL,47
2020/06/02,House Cleaning,Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,40
2020/06/02,House Cleaning,St. Louis MO,17
2020/06/02,House Cleaning,Evansville IN,2
2020/06/02,House Cleaning,Quincy IL-Hannibal MO-Keokuk IA,0
2020/06/02,House Cleaning,Terre Haute IN,0
2020/06/02,House Cleaning,Indianapolis IN,100
2020/06/02,House Cleaning,Ft. Wayne IN,84
2020/06/02,House Cleaning,South Bend-Elkhart IN,81
2020/06/02,House Cleaning,Evansville IN,62
2020/06/02,House Cleaning,Louisville KY,14
2020/06/02,House Cleaning,Chicago IL,4
2020/06/02,House Cleaning,Cincinnati OH,2
2020/06/02,House Cleaning,Lafayette IN,0
2020/06/02,House Cleaning,Terre Haute IN,0
2020/06/02,House Cleaning,Des Moines-Ames IA,100
2020/06/02,House Cleaning,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,98
2020/06/02,House Cleaning,Davenport IA-Rock Island-Moline IL,45
2020/06/02,House Cleaning,Rochester MN-Mason City IA-Austin MN,17
2020/06/02,House Cleaning,Omaha NE,6
2020/06/02,House Cleaning,Sioux City IA,0
2020/06/02,House Cleaning,Ottumwa IA-Kirksville MO,0
2020/06/02,House Cleaning,Topeka KS,100
2020/06/02,House Cleaning,Wichita-Hutchinson KS,75
2020/06/02,House Cleaning,Kansas City MO,44
2020/06/02,House Cleaning,Joplin MO-Pittsburg KS,23
2020/06/02,House Cleaning,St. Joseph MO,0
2020/06/02,House Cleaning,Lexington KY,100
2020/06/02,House Cleaning,Louisville KY,84
2020/06/02,House Cleaning,Evansville IN,35
2020/06/02,House Cleaning,Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,26
2020/06/02,House Cleaning,Charleston-Huntington WV,17
2020/06/02,House Cleaning,Cincinnati OH,16
2020/06/02,House Cleaning,Nashville TN,3
2020/06/02,House Cleaning,Knoxville TN,2
2020/06/02,House Cleaning,Tri-Cities TN-VA,2
2020/06/02,House Cleaning,Bowling Green KY,0
2020/06/02,House Cleaning,Baton Rouge LA,100
2020/06/02,House Cleaning,Lafayette LA,95
2020/06/02,House Cleaning,New Orleans LA,94
2020/06/02,House Cleaning,Monroe LA-El Dorado AR,78
2020/06/02,House Cleaning,Shreveport LA,59
2020/06/02,House Cleaning,Lake Charles LA,0
2020/06/02,House Cleaning,Alexandria LA,0
2020/06/02,House Cleaning,Portland-Auburn ME,100
2020/06/02,House Cleaning,Bangor ME,91
2020/06/02,House Cleaning,Presque Isle ME,0
2020/06/02,House Cleaning,Baltimore MD,100
2020/06/02,House Cleaning,Salisbury MD,55
2020/06/02,House Cleaning,Washington DC (Hagerstown MD),23
2020/06/02,House Cleaning,Boston MA-Manchester NH,100
2020/06/02,House Cleaning,Springfield-Holyoke MA,97
2020/06/02,House Cleaning,Providence RI-New Bedford MA,32
2020/06/02,House Cleaning,Grand Rapids-Kalamazoo-Battle Creek MI,100
2020/06/02,House Cleaning,Detroit MI,99
2020/06/02,House Cleaning,Flint-Saginaw-Bay City MI,98
2020/06/02,House Cleaning,Traverse City-Cadillac MI,97
2020/06/02,House Cleaning,Lansing MI,93
2020/06/02,House Cleaning,South Bend-Elkhart IN,20
2020/06/02,House Cleaning,Toledo OH,7
2020/06/02,House Cleaning,Marquette MI,0
2020/06/02,House Cleaning,Alpena MI,0
2020/06/02,House Cleaning,Minneapolis-St. Paul MN,100
2020/06/02,House Cleaning,Rochester MN-Mason City IA-Austin MN,80
2020/06/02,House Cleaning,Duluth MN-Superior WI,62
2020/06/02,House Cleaning,Fargo-Valley City ND,35
2020/06/02,House Cleaning,La Crosse-Eau Claire WI,9
2020/06/02,House Cleaning,Mankato MN,0
2020/06/02,House Cleaning,Biloxi-Gulfport MS,100
2020/06/02,House Cleaning,Columbus-Tupelo-West Point MS,91
2020/06/02,House Cleaning,Jackson MS,85
2020/06/02,House Cleaning,Memphis TN,19
2020/06/02,House Cleaning,Baton Rouge LA,1
2020/06/02,House Cleaning,Hattiesburg-Laurel MS,0
2020/06/02,House Cleaning,Greenwood-Greenville MS,0
2020/06/02,House Cleaning,Meridian MS,0
2020/06/02,House Cleaning,Springfield MO,100
2020/06/02,House Cleaning,Columbia-Jefferson City MO,94
2020/06/02,House Cleaning,St. Louis MO,93
2020/06/02,House Cleaning,Joplin MO-Pittsburg KS,66
2020/06/02,House Cleaning,Kansas City MO,64
